id,client_code,site_id,survey_id,survey_type,status,done,baseline,start_date,end_date,agents,transplanting,reef_check,sfm,vid360,edna,dir,rc_path,sfm_path,vid360_path,exp360_id,report_date,report_link,report_id,report_author,report_status,remarks
C-SNG23-MI-01-S5,SNG,C-SNG23-MI-01,S5,quarterly,to do,FALSE,FALSE,24/08/2024,,JW,,,,,,,,,,,07/09/2024,link,C-SNG23-MI-01-R5,"HW, JW",not done,
W-ADP24-AA-01-S4,ADP,W-ADP24-AA-01,S4,bimonthly,to do,FALSE,FALSE,28/08/2024,,"JW, LZ",,,,,,,,,,,11/09/2024,link,W-ADP24-AA-01-R4,JW,not done,
C-ADQ23-HI-01-S6,ADQ,C-ADQ23-HI-01,S6,quarterly,to do,FALSE,FALSE,11/09/2024,,"LZ, MY",,,,,,link,link,,,,25/09/2024,link,C-ADQ23-HI-01-R6,"HW, JW",not done,
W-ADP24-AA-01-S5,ADP,W-ADP24-AA-01,S5,bimonthly,to do,FALSE,FALSE,28/10/2024,,"JW, LZ",,,,,,,,,,,11/11/2024,link,W-ADP24-AA-01-R5,JW,not done,
C-SNG23-MI-01-S6,SNG,C-SNG23-MI-01,S6,quarterly,to do,FALSE,FALSE,24/11/2024,,JW,,,,,,,link,,,,08/12/2024,link,C-SNG23-MI-01-R6,"HW, JW",not done,
C-ADQ23-HI-01-S7,ADQ,C-ADQ23-HI-01,S7,quarterly,to do,FALSE,FALSE,11/12/2024,,"LZ, MY",,,,,,link,link,,,,25/12/2024,link,C-ADQ23-HI-01-R7,"HW, JW",not done,
W-ADP24-AA-01-S6,ADP,W-ADP24-AA-01,S6,bimonthly,to do,FALSE,FALSE,27/12/2024,,"JW, LZ",,,,,,,,,,,10/01/2025,link,W-ADP24-AA-01-R6,JW,not done,
C-CSS23-BI-01-S2,CSS,C-CSS23-BI-01,S2,annual,to do,FALSE,FALSE,22/02/2025,,JW,,,,,,,,,,,24/03/2025,link,C-CSS23-BI-01-R2,"HW, JW",not done,
C-SNG23-MI-01-S7,SNG,C-SNG23-MI-01,S7,quarterly,to do,FALSE,FALSE,24/02/2025,,JW,,,,,,,,,,,10/03/2025,link,C-SNG23-MI-01-R7,"HW, JW",not done,
W-ADP24-AA-01-S7,ADP,W-ADP24-AA-01,S7,bimonthly,to do,FALSE,FALSE,28/02/2025,,"JW, LZ",,,,,,,,,,,14/03/2025,link,W-ADP24-AA-01-R7,JW,not done,
C-ADQ23-HI-01-S8,ADQ,C-ADQ23-HI-01,S8,annual,to do,FALSE,FALSE,11/03/2025,,"LZ, MY",,,,,,link,link,,,,25/03/2025,link,C-ADQ23-HI-01-R8,"HW, JW",not done,
C-SNG23-MI-01-S8,SNG,C-SNG23-MI-01,S8,annual,to do,FALSE,FALSE,24/05/2025,,JW,,,,,,,link,,,,07/06/2025,link,C-SNG23-MI-01-R8,"HW, JW",not done,
C-ADQ23-HI-01-S9,ADQ,C-ADQ23-HI-01,S9,quarterly,to do,FALSE,FALSE,11/06/2025,,"LZ, MY",,,,,,link,link,,,,25/06/2025,link,C-ADQ23-HI-01-R9,"HW, JW",not done,
C-SNG23-MI-01-S9,SNG,C-SNG23-MI-01,S9,quarterly,to do,FALSE,FALSE,24/08/2025,,JW,,,,,,,,,,,07/09/2025,link,C-SNG23-MI-01-R9,"HW, JW",not done,
C-ADQ23-HI-01-S10,ADQ,C-ADQ23-HI-01,S10,quarterly,to do,FALSE,FALSE,11/09/2025,,"LZ, MY",,,,,,link,link,,,,25/09/2025,link,C-ADQ23-HI-01-R10,"HW, JW",not done,
C-SNG23-MI-01-S10,SNG,C-SNG23-MI-01,S10,quarterly,to do,FALSE,FALSE,24/11/2025,,JW,,,,,,,link,,,,08/12/2025,link,C-SNG23-MI-01-R10,"HW, JW",not done,
C-ADQ23-HI-01-S11,ADQ,C-ADQ23-HI-01,S11,quarterly,to do,FALSE,FALSE,11/12/2025,,"LZ, MY",,,,,,link,link,,,,25/12/2025,link,C-ADQ23-HI-01-R11,"HW, JW",not done,
C-CSS23-BI-01-S3,CSS,C-CSS23-BI-01,S3,annual,to do,FALSE,FALSE,22/02/2026,,JW,,,,,,,,,,,24/03/2026,link,C-CSS23-BI-01-R3,"HW, JW",not done,
C-SNG23-MI-01-S11,SNG,C-SNG23-MI-01,S11,quarterly,to do,FALSE,FALSE,24/02/2026,,JW,,,,,,,,,,,10/03/2026,link,C-SNG23-MI-01-R11,"HW, JW",not done,
C-ADQ23-HI-01-S12,ADQ,C-ADQ23-HI-01,S12,annual,to do,FALSE,FALSE,11/03/2026,,"LZ, MY",,,,,,link,link,,,,25/03/2026,link,C-ADQ23-HI-01-R12,"HW, JW",not done,
C-SNG23-MI-01-S12,SNG,C-SNG23-MI-01,S12,annual,to do,FALSE,FALSE,24/05/2026,,JW,,,,,,,,,,,07/06/2026,link,C-SNG23-MI-01-R12,"HW, JW",not done,
C-ADQ23-HI-01-S0,ADQ,C-ADQ23-HI-01,S0,baseline,not done,FALSE,FALSE,,,,,,,,,,,,,,,,,,not done,
