species,name,family,habitat,length_cm,length_type,trophic_level,status,region,source,type,indicator,schooling_behaviour, mobility,position,activity_patterns
Acanthurus blochii,Ringtail surgeonfish,Acanthuridae,reef-associated,45.0,SL,2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Acanthurus nigrofuscus,Brown surgeonfish,Acanthuridae,reef-associated,21.0,TL,2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Acanthurus sohal,Sohal surgeonfish,Acanthuridae,reef-associated,40.0,TL,2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Acanthurus triostegus,Convict surgeonfish,Acanthuridae,reef-associated,27.0,TL,2.8,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Acanthurus xanthopterus,Yellowfin surgeonfish,Acanthuridae,reef-associated,70.0,TL,2.9,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Naso brevirostris,Spotted unicornfish,Acanthuridae,reef-associated,60.0,TL,2.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Naso hexacanthus,Sleek unicornfish,Acanthuridae,reef-associated,75.0,FL,3.1,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Naso unicornis,Bluespine unicornfish,Acanthuridae,reef-associated,70.0,FL,2.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Zebrasoma xanthurum,Yellowtail tang,Acanthuridae,reef-associated,36.7,TL,2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Acropoma japonicum,Glowbelly,Acropomatidae,bathypelagic,20.0,TL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Alopias pelagicus,Pelagic thresher,Alopiidae,pelagic-oceanic,428.0,TL,4.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Alopias vulpinus,Thresher,Alopiidae,pelagic-oceanic,573.3,TL,4.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Abantennarius nummifer,Spotfin frogfish,Antennariidae,reef-associated,13.0,TL,4.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Pseudanthias townsendi,Townsend's anthias,Anthiadidae,demersal,9.0,TL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Antigonia rubescens,Indo-Pacific boarfish,Antigoniidae,benthopelagic,15.0,SL,2.8,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Aphaniops dispar,Arabian pupfish,Aphaniidae,benthopelagic,7.0,TL,2.9,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Aphaniops stoliczkanus,,Aphaniidae,benthopelagic,4.5,SL,2.8,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Aphanius fasciatus,Mediterranean banded killifish,Aphaniidae,benthopelagic,6.8,TL,2.7,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Apistus carinatus,Ocellated waspfish,Apistidae,demersal,20.0,TL,3.6,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Apogon coccineus,Ruby cardinalfish,Apogonidae,reef-associated,6.0,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Apogonichthyoides nigripinnis,Bullseye,Apogonidae,reef-associated,10.0,TL,3.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Apogonichthyoides pharaonis,Pharaoh cardinalfish,Apogonidae,demersal,9.5,TL,3.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Apogonichthyoides pseudotaeniatus,Doublebar cardinalfish,Apogonidae,reef-associated,14.0,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Apogonichthyoides taeniatus,Twobelt cardinal,Apogonidae,reef-associated,17.0,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Apogonichthyoides uninotatus,Onespot cardinalfish,Apogonidae,pelagic-neritic,5.5,SL,3.3,questionable,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Apogonichthys perdix,Perdix cardinalfish,Apogonidae,reef-associated,6.0,TL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Cheilodipterus artus,Wolf cardinalfish,Apogonidae,reef-associated,18.7,SL,4.1,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Cheilodipterus macrodon,Large toothed cardinalfish,Apogonidae,reef-associated,25.0,TL,4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Cheilodipterus novemstriatus,Indian Ocean twospot cardinalfish,Apogonidae,demersal,8.0,TL,3.7,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Cheilodipterus persicus,Persian cardinalfish,Apogonidae,reef-associated,15.0,TL,3.9,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Fowleria marmorata,Marbled cardinalfish,Apogonidae,reef-associated,7.5,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Fowleria vaiulae,Mottled cardinalfish,Apogonidae,reef-associated,5.0,TL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Fowleria variegata,Variegated cardinalfish,Apogonidae,reef-associated,8.0,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Jaydia queketti,Spotfin cardinal,Apogonidae,benthopelagic,12.3,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Jaydia truncata,Flagfin cardinalfish,Apogonidae,reef-associated,15.0,TL,3.6,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Nectamia savayensis,Samoan cardinalfish,Apogonidae,reef-associated,10.0,SL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Ostorhinchus angustatus,Broadstriped cardinalfish,Apogonidae,reef-associated,11.0,TL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Ostorhinchus cookii,Cook's cardinalfish,Apogonidae,reef-associated,10.0,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Ostorhinchus cyanosoma,Yellowstriped cardinalfish,Apogonidae,reef-associated,8.0,TL,3.6,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Ostorhinchus fasciatus,Broadbanded cardinalfish,Apogonidae,reef-associated,12.6,TL,3.6,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Ostorhinchus fleurieu,Flower cardinalfish,Apogonidae,reef-associated,14.2,TL,3.6,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Ostorhinchus gularis,Gular cardinalfish,Apogonidae,demersal,6.6,TL,3.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Ostorhinchus nigrofasciatus,Blackstripe cardinalfish,Apogonidae,reef-associated,10.0,TL,3.6,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Ostorhinchus taeniophorus,Reef-flat cardinalfish,Apogonidae,reef-associated,11.5,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Pristiapogon exostigma,Narrowstripe cardinalfish,Apogonidae,reef-associated,12.0,TL,3.7,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Pristiapogon fraenatus,Bridled cardinalfish,Apogonidae,reef-associated,11.0,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Pristiapogon kallopterus,Iridescent cardinalfish,Apogonidae,reef-associated,15.5,TL,3.6,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Pseudamia gelatinosa,Gelatinous cardinalfish,Apogonidae,reef-associated,11.0,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Pseudamia tarri,Tarr's cardinalfish,Apogonidae,demersal,3.7,SL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Taeniamia fucata,Orangelined cardinalfish,Apogonidae,reef-associated,10.0,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Verulux cypselurus,Swallowtail cardinalfish,Apogonidae,reef-associated,6.0,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Zoramia leptacanthus,Threadfin cardinalfish,Apogonidae,reef-associated,6.0,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Netuma bilineata,Bronze catfish,Ariidae,demersal,90.0,TL,3.8,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Netuma thalassina,Giant catfish,Ariidae,demersal,185.0,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Plicofollis dussumieri,Blacktip sea catfish,Ariidae,demersal,85.0,TL,4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Plicofollis layardi,Thinspine sea catfish,Ariidae,demersal,51.0,TL,4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Ariomma indica,Indian driftfish,Ariommatidae,benthopelagic,25.0,SL,3.6,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Atherinomorus lacunosus,Wide-banded hardyhead silverside,Atherinidae,reef-associated,25.0,TL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Atherinomorus pinguis,Narrow-banded hardyhead silverside,Atherinidae,reef-associated,13.6,SL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Hypoatherina temminckii,Samoan silverside,Atherinidae,reef-associated,12.0,TL,3.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Abalistes stellatus,Starry triggerfish,Balistidae,demersal,60.0,TL,3.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Balistapus undulatus,Orange-lined triggerfish,Balistidae,reef-associated,30.0,TL,3.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Balistoides viridescens,Titan triggerfish,Balistidae,reef-associated,75.0,TL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Odonus niger,Red-toothed triggerfish,Balistidae,reef-associated,50.0,TL,3.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Pseudobalistes flavimarginatus,Yellowmargin triggerfish,Balistidae,reef-associated,60.0,TL,2.8,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Pseudobalistes fuscus,Yellow-spotted triggerfish,Balistidae,reef-associated,55.0,TL,3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Rhinecanthus assasi,Picasso triggerfish,Balistidae,reef-associated,30.0,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Rhinecanthus rectangulus,Wedge-tail triggerfish,Balistidae,reef-associated,30.0,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Sufflamen chrysopterum,Halfmoon triggerfish,Balistidae,reef-associated,30.0,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Allenbatrachus grunniens,Grunting toadfish,Batrachoididae,demersal,30.0,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Barchatus cirrhosus,Toadfish,Batrachoididae,demersal,35.0,TL,3.6,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Colletteichthys dussumieri,Flat toadfish,Batrachoididae,demersal,27.0,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Colletteichthys occidentalis,Arabian toadfish,Batrachoididae,demersal,14.8,SL,3.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Ablennes hians,Flat needlefish,Belonidae,reef-associated,140.0,TL,4.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Platybelone platura,,Belonidae,pelagic-neritic,45.0,TL,4.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Strongylura leiura,Banded needlefish,Belonidae,reef-associated,100.0,TL,3.9,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Strongylura strongylura,Spottail needlefish,Belonidae,pelagic-neritic,40.0,SL,4.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Tylosurus crocodilus,Hound needlefish,Belonidae,reef-associated,150.0,TL,4.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Alticus kirkii,Kirk's blenny,Blenniidae,demersal,11.0,TL,2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Alticus saliens,Leaping blenny,Blenniidae,demersal,10.0,TL,2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Antennablennius adenensis,Aden blenny,Blenniidae,demersal,5.0,TL,2.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Antennablennius bifilum,Horned rockskipper,Blenniidae,demersal,7.5,TL,2.1,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Antennablennius hypenetes,Arabian blenny,Blenniidae,demersal,6.5,TL,2.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Antennablennius simonyi,Simony's blenny,Blenniidae,demersal,5.5,TL,2.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Antennablennius variopunctatus,Orangedotted blenny,Blenniidae,demersal,7.5,TL,2.1,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Aspidontus dussumieri,Lance blenny,Blenniidae,reef-associated,12.0,TL,2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Blenniella periophthalmus,Blue-dashed rockskipper,Blenniidae,reef-associated,15.0,SL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Cirripectes castaneus,Chestnut eyelash-blenny,Blenniidae,reef-associated,9.2,SL,2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Cirripectes filamentosus,Filamentous blenny,Blenniidae,reef-associated,7.5,SL,2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Ecsenius midas,Persian blenny,Blenniidae,reef-associated,13.0,TL,2.6,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Ecsenius pulcher,Gulf blenny,Blenniidae,demersal,11.0,TL,2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Enchelyurus kraussii,Krauss' blenny,Blenniidae,reef-associated,4.5,SL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Exallias brevis,Leopard blenny,Blenniidae,reef-associated,14.5,TL,4.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Hirculops cornifer,Highbrow rockskipper,Blenniidae,demersal,6.0,SL,2.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Istiblennius edentulus,Rippled rockskipper,Blenniidae,reef-associated,16.0,TL,2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Istiblennius pox,Scarface rockskipper,Blenniidae,demersal,13.0,TL,2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Mimoblennius cirrosus,Fringed blenny,Blenniidae,reef-associated,5.4,TL,2.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Omobranchus fasciolatus,Arab blenny,Blenniidae,demersal,6.8,TL,2.7,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Omobranchus mekranensis,Mekran blenny,Blenniidae,demersal,6.0,TL,2.7,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Omobranchus punctatus,Muzzled blenny,Blenniidae,benthopelagic,9.5,SL,2.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Parablennius opercularis,Cheekspot blenny,Blenniidae,demersal,6.0,TL,2.9,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Parablennius thysanius,Tasseled blenny,Blenniidae,demersal,6.2,TL,2.9,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Petroscirtes ancylodon,Arabian fangblenny,Blenniidae,demersal,11.5,TL,2.1,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Petroscirtes mitratus,Floral blenny,Blenniidae,reef-associated,8.5,TL,2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Plagiotremus rhinorhynchos,Bluestriped fangblenny,Blenniidae,reef-associated,12.0,SL,4.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Plagiotremus tapeinosoma,Piano fangblenny,Blenniidae,reef-associated,14.0,TL,3.8,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Salaria pavo,Peacock blenny,Blenniidae,demersal,13.8,TL,2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Salarias fasciatus,Jewelled blenny,Blenniidae,reef-associated,14.0,TL,2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Xiphasia matsubarai,Japanese snake blenny,Blenniidae,benthopelagic,30.0,SL,4.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Xiphasia setifer,Hairtail blenny,Blenniidae,benthopelagic,53.0,SL,3.9,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Arnoglossus aspilos,Spotless lefteye flounder,Bothidae,demersal,19.0,TL,3.5,questionable,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Arnoglossus tapeinosoma,Drab flounder,Bothidae,demersal,12.7,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Bothus pantherinus,Leopard flounder,Bothidae,reef-associated,39.0,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Engyprosopon macrolepis,Largescale dwarf flounder,Bothidae,demersal,16.0,TL,3.6,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Grammatobothus polyophthalmus,Threespot flounder,Bothidae,demersal,21.0,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Laeops guentheri,Günther's flounder,Bothidae,demersal,14.0,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Bregmaceros nectabanus,Smallscale codlet,Bregmacerotidae,pelagic-neritic,7.6,SL,3.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Caesio caerulaurea,Blue and gold fusilier,Caesionidae,reef-associated,45.4,FL,3.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Caesio lunaris,Lunar fusilier,Caesionidae,reef-associated,40.0,TL,3.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Caesio striata,Striated fusilier,Caesionidae,reef-associated,25.0,TL,3.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Caesio suevica,Suez fusilier,Caesionidae,reef-associated,35.0,TL,3.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Caesio varilineata,Variable-lined fusilier,Caesionidae,reef-associated,40.0,TL,3.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Gymnocaesio gymnoptera,Slender fusilier,Caesionidae,reef-associated,18.0,TL,3.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Pterocaesio chrysozona,Goldband fusilier,Caesionidae,reef-associated,21.0,TL,3.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Callionymus carebares,Indian deepwater dragonet,Callionymidae,bathydemersal,18.0,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Callionymus erythraeus,Smallhead dragonet,Callionymidae,demersal,10.0,TL,3.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Callionymus filamentosus,Blotchfin dragonet,Callionymidae,demersal,20.0,TL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Callionymus hindsii,Hinds' dragonet,Callionymidae,demersal,9.0,TL,3.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Callionymus margaretae,Margaret's dragonet,Callionymidae,demersal,16.0,TL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Callionymus marleyi,Sand dragonet,Callionymidae,demersal,13.0,TL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Callionymus persicus,Persian dragonet,Callionymidae,demersal,25.8,TL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Diplogrammus pygmaeus,Pygmy dragonet,Callionymidae,demersal,3.7,TL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Alectis ciliaris,African pompano,Carangidae,reef-associated,150.0,TL,4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Alectis indica,Indian threadfish,Carangidae,reef-associated,165.0,TL,4.1,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Alepes djedaba,Shrimp scad,Carangidae,reef-associated,40.0,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Alepes kleinii,Razorbelly scad,Carangidae,reef-associated,18.2,TL,3.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Alepes melanoptera,Blackfin scad,Carangidae,pelagic-neritic,25.0,TL,3.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Alepes vari,Herring scad,Carangidae,pelagic-neritic,61.0,TL,3.7,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Atropus atropos,Cleftbelly trevally,Carangidae,pelagic-neritic,31.6,TL,3.6,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Atule mate,Yellowtail scad,Carangidae,reef-associated,30.0,TL,4.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Carangoides armatus,Longfin trevally,Carangidae,reef-associated,58.0,TL,4.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Carangoides bajad,Orangespotted trevally,Carangidae,reef-associated,55.0,TL,4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Carangoides chrysophrys,Longnose trevally,Carangidae,reef-associated,72.0,FL,4.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Carangoides coeruleopinnatus,Coastal trevally,Carangidae,reef-associated,41.0,TL,4.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Carangoides equula,Whitefin trevally,Carangidae,reef-associated,50.0,FL,4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Carangoides ferdau,Blue trevally,Carangidae,reef-associated,70.0,TL,4.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Carangoides fulvoguttatus,Yellowspotted trevally,Carangidae,reef-associated,120.0,FL,4.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Carangoides gymnostethus,Bludger,Carangidae,reef-associated,90.0,TL,4.1,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Carangoides malabaricus,Malabar trevally,Carangidae,reef-associated,60.0,TL,3.9,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Carangoides plagiotaenia,Barcheek trevally,Carangidae,reef-associated,50.0,TL,4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Carangoides praeustus,Brownback trevally,Carangidae,demersal,29.0,TL,3.9,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Carangoides talamparoides,Imposter trevally,Carangidae,reef-associated,51.0,TL,4.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Caranx heberi,Blacktip trevally,Carangidae,reef-associated,88.0,TL,3.7,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Caranx ignobilis,Giant trevally,Carangidae,reef-associated,170.0,TL,4.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Caranx melampygus,Bluefin trevally,Carangidae,reef-associated,117.0,FL,4.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Caranx sexfasciatus,Bigeye trevally,Carangidae,reef-associated,120.0,TL,4.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Decapterus macarellus,Mackerel scad,Carangidae,pelagic-oceanic,46.0,TL,4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Decapterus macrosoma,Shortfin scad,Carangidae,reef-associated,35.0,TL,3.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Decapterus russelli,Indian scad,Carangidae,benthopelagic,45.0,TL,3.7,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Elagatis bipinnulata,Rainbow runner,Carangidae,reef-associated,180.0,TL,4.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Gnathanodon speciosus,Golden trevally,Carangidae,reef-associated,120.0,TL,3.8,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Lichia amia,Leerfish,Carangidae,pelagic-neritic,200.0,TL,4.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Megalaspis cordyla,Torpedo scad,Carangidae,reef-associated,80.0,TL,3.9,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Naucrates ductor,Pilotfish,Carangidae,reef-associated,70.0,TL,3.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Parastromateus niger,Black pomfret,Carangidae,reef-associated,75.0,TL,2.9,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Pseudocaranx dentex,White trevally,Carangidae,reef-associated,122.0,TL,3.9,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Scomberoides commersonnianus,Talang queenfish,Carangidae,reef-associated,120.0,TL,4.4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Scomberoides lysan,Doublespotted queenfish,Carangidae,reef-associated,110.0,TL,4,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Scomberoides tol,Needlescaled queenfish,Carangidae,reef-associated,60.0,TL,4.1,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Selar crumenophthalmus,Bigeye scad,Carangidae,reef-associated,70.0,TL,3.8,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Selaroides leptolepis,Yellowstripe scad,Carangidae,reef-associated,22.0,TL,3.8,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Seriola dumerili,Greater amberjack,Carangidae,reef-associated,190.0,TL,4.7,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Seriolina nigrofasciata,Blackbanded trevally,Carangidae,reef-associated,77.5,TL,4.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Trachinotus baillonii,Small spotted dart,Carangidae,reef-associated,60.0,TL,3.6,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Trachinotus blochii,Snubnose pompano,Carangidae,reef-associated,110.0,FL,3.7,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Trachinotus mookalee,Indian pompano,Carangidae,demersal,90.0,TL,3.7,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Trachurus indicus,Arabian scad,Carangidae,reef-associated,35.0,TL,3.8,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Trachurus trachurus,Atlantic horse mackerel,Carangidae,pelagic-neritic,70.0,TL,3.7,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Ulua mentalis,Longrakered trevally,Carangidae,reef-associated,100.0,TL,3.7,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Uraspis helvola,Whitetongue jack,Carangidae,reef-associated,58.0,TL,3.8,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Uraspis uraspis,Whitemouth jack,Carangidae,reef-associated,28.0,FL,4.1,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Carcharhinus albimarginatus,Silvertip shark,Carcharhinidae,reef-associated,300.0,TL,4.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Carcharhinus altimus,Bignose shark,Carcharhinidae,reef-associated,300.0,TL,4.5,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Carcharhinus amblyrhynchoides,Graceful shark,Carcharhinidae,pelagic-neritic,182.0,TL,4.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Carcharhinus amboinensis,Pigeye shark,Carcharhinidae,reef-associated,280.0,TL,4.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Carcharhinus brevipinna,Spinner shark,Carcharhinidae,reef-associated,300.0,TL,4.2,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Carcharhinus dussumieri,Whitecheek shark,Carcharhinidae,reef-associated,121.0,TL,4.1,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
Carcharhinus falciformis,Silky shark,Carcharhinidae,reef-associated,350.0,TL,4.3,native,Persian Gulf,Fishbase.se,fish,FALSE,,,,
